Date,Close,High,Low,Open,Volume,sma_10,sma_50,ema_12,ema_26,rsi_14,macd,macd_signal,macd_hist,daily_return,volatility_10,volume_change,price_vs_sma50,direction,ticker
2021-10-11,407.576171875,412.798749458497,407.5105312643394,409.8921065328173,65233300,406.87298889160155,414.22682006835936,408.91697473364906,411.0324416233262,51.03506671913251,-2.1154668896771227,-2.19716614117158,0.08169925149445723,-0.007239581742127688,0.011010395044063637,-0.12505935024558257,-0.016055571177795325,1,SPY
2021-10-12,406.572998046875,408.8983186346125,405.7853963834593,408.4951467022772,71181200,406.8636199951172,414.1785791015625,408.5563629356838,410.702112469515,45.5872319869702,-2.1457495338311787,-2.1868828197035,0.041133285872321235,-0.002461316184187212,0.008955762997268846,0.09117889176233618,-0.018363047821511103,1,SPY
2021-10-13,408.0356750488281,408.85140428938456,404.6227346402631,407.5949901170963,72974000,406.93206176757815,414.0930456542969,408.47625710693677,410.5045985865012,40.96667779024076,-2.0283414795644035,-2.155174551675681,0.12683307211127737,0.003597575365259509,0.009015687138593652,0.025186425629239118,-0.014628042342265557,1,SPY
2021-10-14,414.8990478515625,415.0490712799511,411.2235453911505,411.69235787459854,70236800,408.1847229003906,414.185341796875,409.4643787599561,410.8301133468761,48.614056942575644,-1.3657345869199844,-1.9972865587245416,0.6315519718045572,0.01682052139659862,0.009242761481220958,-0.03750924986981663,0.0017231562362667319,1,SPY
2021-10-15,418.0588684082031,418.42455590539737,416.3898969959303,417.0087329506892,66260200,409.2751800537109,414.28886962890624,410.78660793660947,411.36557668475217,53.04888651846463,-0.5789687481426995,-1.7136229966081733,1.1346542484654738,0.007615878062393389,0.00888408461167341,-0.05661704405667689,0.009099927745280345,1,SPY
2021-10-18,419.2964782714844,419.6340094982905,415.6209761000303,416.2773249708745,62213200,411.0144744873047,414.40350524902345,412.09581875735944,411.95305087636194,64.84453968092265,0.14276788099749638,-1.3423448210870395,1.4851127020845358,0.0029603722269870847,0.007012655631585627,-0.061077388839756,0.011807267459093218,1,SPY
2021-10-19,422.5313720703125,422.5969840780389,420.30917663549167,420.9186558175996,46996800,412.65907287597656,414.5895678710938,413.7012884978138,412.73663022406197,66.83293559639552,0.9646582737518088,-0.8809442021192698,1.8456024758710785,0.007715051202346723,0.006799414567125911,-0.24458475050310868,0.01915582256446946,1,SPY
2021-10-20,424.19091796875,424.4909648278342,422.878248727811,422.9907591464568,49571600,414.3008514404297,414.7985400390625,415.31507764718856,413.5850959829278,76.11663111137088,1.7299816642607766,-0.3587590288432605,2.088740693104037,0.003927627646453935,0.006799210384749561,0.054786708882306856,0.022643228032584117,1,SPY
2021-10-21,425.2972717285156,425.5222925463141,423.15948811730703,423.5907875561012,41305400,415.7007171630859,415.0090771484375,416.85079981354653,414.452664556675,73.81234474145673,2.3981352568715124,0.1926198282996941,2.205515428571818,0.0026081505117163672,0.0066037059395028476,-0.16675273745451025,0.02479028808422501,1,SPY
2021-10-22,424.8566284179688,426.3099643124369,422.9157378325938,424.86601382430814,58845100,417.13154296875,415.1859405517578,418.0824657526884,415.22332854640047,84.47900115796891,2.859137206287926,0.7259233038973405,2.1332139023905854,-0.0010360830878504146,0.006539199308665784,0.42463455141458506,0.02329242616780136,1,SPY
2021-10-25,427.1350708007813,427.4632452839596,424.1722008875209,425.9442973142117,45214500,419.0874328613281,415.39323059082034,419.47517422162576,416.1056798245028,83.53761236643433,3.369494397122992,1.2546375225424709,2.114856874580521,0.005362850030836697,0.005357644598120406,-0.2316352593503962,0.028266806835682834,1,SPY
