Date,Close,High,Low,Open,Volume,sma_10,sma_50,ema_12,ema_26,rsi_14,macd,macd_signal,macd_hist,daily_return,volatility_10,volume_change,price_vs_sma50,direction,ticker
2021-10-11,61.09000015258789,62.1775016784668,60.41249847412109,60.8025016784668,4452800,61.193000411987306,64.03440010070801,62.02706498110218,63.06005953997173,42.77884862270859,-1.0329945588695537,-0.8844913173589306,-0.1485032415106231,-0.0026122424067283045,0.025598421788453566,-0.367751462486511,-0.04598153404247429,1,CRWD
2021-10-12,63.185001373291016,63.57500076293945,60.817501068115234,61.54750061035156,9260000,61.465000534057616,64.02855010986327,62.20520904143892,63.06931449058798,44.9244533629256,-0.8641054491490578,-0.8804141437169561,0.016308694567898296,0.03429368498068963,0.023362969025608207,1.0795903701042042,-0.013174571892145881,1,CRWD
2021-10-13,67.61000061035156,67.94999694824219,63.45249938964844,63.45249938964844,21948000,62.2367504119873,64.10905014038086,63.03671543665625,63.40566161057047,54.77110030853445,-0.36894617391421747,-0.7781205497564084,0.40917437584219096,0.07003243081246557,0.03046831357033205,1.3701943844492441,0.054609301842791336,1,CRWD
2021-10-14,69.00250244140625,69.22250366210938,67.06999969482422,67.51499938964844,19684000,62.992500686645506,64.16805023193359,63.95452882200241,63.8202424128546,57.8836849738387,0.13428640914781198,-0.5956391579755644,0.7299255671233764,0.020596092567428448,0.030255539174664895,-0.10315290687078549,0.07534048785959158,1,CRWD
2021-10-15,68.27749633789062,69.0,67.57250213623047,69.0,10210800,63.58850021362305,64.20550018310547,64.61960074752368,64.15040937026467,61.63898717457178,0.4691913772590084,-0.3826730509286499,0.8518644281876583,-0.010506953775064387,0.03106076124500828,-0.4812639707376549,0.06342129791329976,1,CRWD
2021-10-18,71.3375015258789,71.42749786376953,67.5250015258789,68.25,13160000,64.75025024414063,64.32855026245117,65.65312394419371,64.68278656697683,75.37634556036086,0.9703373772168788,-0.11207096529954419,1.082408342516423,0.04481718504798371,0.026966071594644026,0.2888314333842599,0.10895552961837662,0,CRWD
2021-10-19,70.5875015258789,71.32499694824219,69.72250366210938,70.80750274658203,9194000,65.68600044250488,64.42250030517579,66.41225895676067,65.12017286022883,74.7569279979881,1.2920860965318326,0.16876044706673116,1.1233256494651014,-0.010513404365976031,0.028273424236020046,-0.30136778115501517,0.09569639786563533,1,CRWD
2021-10-20,70.8324966430664,72.10124969482422,69.89250183105469,70.67725372314453,7101600,66.56425018310547,64.57580024719238,67.09229552388463,65.54330795525384,73.13044687906518,1.5489875686307926,0.44480587137954347,1.104181697251249,0.003470800239298466,0.02849658942630418,-0.227583206438982,0.09688918096134724,0,CRWD
2021-10-21,71.0250015258789,71.875,70.50250244140625,70.75,7804400,67.41975021362305,64.7969002532959,67.69732721649913,65.94935933085569,72.19883753204198,1.7479678856434475,0.7054382742323244,1.042529611411123,0.0027177480949536204,0.028634243245193734,0.09896361383350238,0.09611727178671958,0,CRWD
2021-10-22,70.84750366210938,72.68250274658203,70.08000183105469,71.05750274658203,10184000,68.37950057983399,64.98475028991699,68.18196974659301,66.31218483687448,82.36147838631933,1.8697849097185326,0.938307601329566,0.9314773083889666,-0.00249908989730685,0.026921522220772855,0.30490492542668246,0.09021737170700561,0,CRWD
2021-10-25,70.0250015258789,71.33100128173828,69.51499938964844,71.0,8338000,69.27300071716309,65.16615028381348,68.46551309725238,66.58720829531926,76.6434210346891,1.878304801933126,1.126307041450278,0.751997760482848,-0.011609472369742191,0.027713467475956936,-0.1812647289866457,0.07456096793970524,0,CRWD
2021-10-26,71.7699966430664,74.3499984741211,70.75499725341797,71.0,17573200,70.13150024414062,65.42800018310547,68.97389518122377,66.97111854330053,77.88293417649102,2.0027766379232332,1.301600960744869,0.7011756771783642,0.02491960127330528,0.027105639494763308,1.1076037419045335,0.09693092318598096,0,CRWD
2021-10-27,69.75,72.875,69.55500030517578,71.96475219726562,9276800,70.34550018310547,65.65900016784668,69.09329592257396,67.17696161416717,69.1276834672319,1.916334308406789,1.424547630277253,0.4917866781295359,-0.028145419221801693,0.021387376934230845,-0.47210525117793,0.06230676406426139,0,CRWD
2021-10-28,70.2925033569336,70.93250274658203,68.26000213623047,69.5,6153200,70.4745002746582,65.89595024108887,69.2777893740139,67.40774248400172,74.63560590313864,1.8700468900121905,1.5136474822242405,0.35639940778795,0.007777825905858071,0.02060711254449838,-0.33671093480510517,0.06671962540580068,0,CRWD
2021-10-29,70.44999694824219,71.125,69.88500213623047,70.25,4956000,70.69175033569336,66.13015014648437,69.45812900081826,67.63309466653804,75.5040752811182,1.8250343342802182,1.5759248526354361,0.24910948164478208,0.002240546058074999,0.020133357070402404,-0.1945654293700838,0.06532340834232131,0,CRWD
2021-11-01,67.2925033569336,68.88524627685547,65.80750274658203,68.88524627685547,19608000,70.28725051879883,66.28660018920898,69.12495582483601,67.60786568064141,60.57953152262319,1.5170901441945972,1.5641579109472685,-0.047067766752671325,-0.044818931555501984,0.019549427737580703,2.956416464891041,0.015175060492669035,1,CRWD
